Campaign,Daily budget,Location,Bid strategy,Goal
Search | Cash Home Buyer | Fresno,125,"Fresno, CA",Maximize conversions,Lead form submit + phone call
Search | Cash Home Buyer | Clovis,75,"Clovis, CA",Maximize conversions,Lead form submit + phone call
Search | Cash Home Buyer | Sanger,45,"Sanger, CA",Maximize conversions,Lead form submit + phone call
Search | Cash Home Buyer | Selma,45,"Selma, CA",Maximize conversions,Lead form submit + phone call
Search | Cash Home Buyer | Reedley,45,"Reedley, CA",Maximize conversions,Lead form submit + phone call
Search | Cash Home Buyer | Kingsburg,45,"Kingsburg, CA",Maximize conversions,Lead form submit + phone call
Search | Cash Home Buyer | Visalia,45,"Visalia, CA",Maximize conversions,Lead form submit + phone call
Search | Cash Home Buyer | Tulare,45,"Tulare, CA",Maximize conversions,Lead form submit + phone call
Search | Cash Home Buyer | Porterville,45,"Porterville, CA",Maximize conversions,Lead form submit + phone call
Search | Cash Home Buyer | Hanford,45,"Hanford, CA",Maximize conversions,Lead form submit + phone call
Search | Cash Home Buyer | Lemoore,45,"Lemoore, CA",Maximize conversions,Lead form submit + phone call
Search | Cash Home Buyer | Bakersfield,45,"Bakersfield, CA",Maximize conversions,Lead form submit + phone call
Search | Cash Home Buyer | Madera,45,"Madera, CA",Maximize conversions,Lead form submit + phone call
Search | Cash Home Buyer | Modesto,45,"Modesto, CA",Maximize conversions,Lead form submit + phone call
Search | Cash Home Buyer | Stockton,45,"Stockton, CA",Maximize conversions,Lead form submit + phone call
